Ana,1199999-9999,ana@uol.com.br
Zé,1188888-8888,ze@gmail.com
Mary,1177777-7777,mary@uol.com.br
Giba,(11) 66666-6666,gil@ig.com.br
Fernanda,(11) 55555-5555,fer@ig.com.br
Ana,(11) 55555-6666,ana@ig.com.br
Lucia,(15) 97676-6767,lucia@bol.com.br
Aldo,(11) 97999-9999,aldo@ig.com
Bill,(11) 98787-7878,bill@yahoo.com.br
Hilda,(11) 97575-5757,hild@.gmail.com
Renato,(11) 99494-4949,renato@uol.com.br
Alexandre,(11) 99191-1919,alex@gmail.com
Augusto ,(18) 97948-8484,aug@yahoo.com.br
Rita,(16) 99595-5656,rita@gmail.com
